"data_deteccao","longitude","latitude","data_quebra","magnitude","r2_historico","n_obs"
"2026-09-04",-44.7879788568101,-20.9678914569832,"2026-08-17",0.051263,0.3686,323
"2026-09-04",-44.7878890252817,-20.9698677506083,"2026-01-14",-0.04747,0.4389,328
"2026-09-04",-44.7878890252817,-20.9697779190798,"2026-01-14",-0.053903,0.4298,326
"2026-09-04",-44.7877991937533,-20.970676234364,"2026-03-05",0.055424,0.5,329
"2026-09-04",-44.7877991937533,-20.9702270767219,"2026-07-24",0.072658,0.2593,329
"2026-09-04",-44.7877093622248,-20.9702270767219,"2026-07-29",0.049226,0.2171,329
"2026-09-04",-44.7877093622248,-20.9701372451935,"2026-07-24",0.067265,0.2189,329
"2026-09-04",-44.7877093622248,-20.9697779190798,"2026-08-12",-0.078694,0.3841,327
"2026-09-04",-44.7877093622248,-20.9678016254548,"2026-09-03",0.053169,0.295,326
"2026-09-04",-44.7874398676396,-20.9677117939264,"2026-09-03",0.057159,0.2417,327
"2026-09-04",-44.7873500361112,-20.9678016254548,"2026-08-02",0.045417,0.33,328
"2026-09-04",-44.7873500361112,-20.9677117939264,"2026-09-03",0.050567,0.2377,327
"2026-09-04",-44.7873500361112,-20.9669931416991,"2026-09-03",0.074444,0.2608,325
"2026-09-04",-44.7872602045828,-20.9697779190798,"2026-08-14",0.090429,0.2593,331
"2026-09-04",-44.7872602045828,-20.9687897722673,"2026-01-09",-0.122175,0.2782,322
"2026-09-04",-44.7872602045828,-20.9678016254548,"2026-07-29",0.057102,0.3164,325
"2026-09-04",-44.7871703730544,-20.9705864028356,"2026-09-03",0.077592,0.5498,326
"2026-09-04",-44.7871703730544,-20.9704965713071,"2026-09-03",0.064494,0.527,328
"2026-09-04",-44.7871703730544,-20.9704067397787,"2026-08-14",0.085077,0.4793,328
"2026-09-04",-44.7871703730544,-20.9666338155854,"2026-01-14",0.052648,0.2921,325
"2026-09-04",-44.787080541526,-20.9704965713071,"2026-08-28",0.102654,0.7249,330
"2026-09-04",-44.787080541526,-20.9704067397787,"2026-08-14",0.10248,0.7062,329
"2026-09-04",-44.787080541526,-20.9678914569832,"2026-01-14",-0.004699,0.366,324
"2026-09-04",-44.787080541526,-20.9670829732275,"2026-09-03",0.085528,0.2703,327
"2026-09-04",-44.787080541526,-20.9666338155854,"2026-01-14",0.056201,0.2959,326
"2026-09-04",-44.7869907099975,-20.9705864028356,"2026-08-28",0.140657,0.7635,328
"2026-09-04",-44.7869907099975,-20.9704965713071,"2026-08-28",0.165503,0.7613,331
"2026-09-04",-44.7869907099975,-20.9704067397787,"2026-08-17",0.163004,0.7541,330
"2026-09-04",-44.7869907099975,-20.9703169082503,"2026-08-12",0.122161,0.7147,330
"2026-09-04",-44.7869907099975,-20.9666338155854,"2026-01-14",0.044836,0.2889,328
"2026-09-04",-44.7869008784691,-20.9678016254548,"2026-08-14",0.063931,0.3179,325
"2026-09-04",-44.7869008784691,-20.9677117939264,"2026-09-03",0.084062,0.2795,325
