"longitude","latitude","estado","historico_inicio","monitor_inicio","ultima_quebra","ultima_magnitude","n_alertas"
-44.7881585198669,-20.9693287614378,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7881585198669,-20.9692389299094,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7881585198669,-20.969149098381,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7881585198669,-20.9690592668525,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7881585198669,-20.9689694353241,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7881585198669,-20.9688796037957,"RECALIBRANDO",2026-07-30,NA,2026-07-29,-0.128039595039931,1
-44.7881585198669,-20.9687897722673,"RECALIBRANDO",2026-07-15,NA,2026-07-14,-0.132083810431314,1
-44.7881585198669,-20.9686999407389,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7881585198669,-20.9686101092105,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7880686883385,-20.9694185929662,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7880686883385,-20.9693287614378,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7880686883385,-20.9692389299094,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7880686883385,-20.969149098381,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7880686883385,-20.9690592668525,"RECALIBRANDO",2026-08-15,NA,2026-08-14,-0.0793421170086054,1
-44.7880686883385,-20.9689694353241,"RECALIBRANDO",2026-08-13,NA,2026-08-12,-0.0936514623951342,1
-44.7880686883385,-20.9688796037957,"RECALIBRANDO",2026-07-30,NA,2026-07-29,-0.126532027602339,1
-44.7880686883385,-20.9687897722673,"RECALIBRANDO",2026-07-15,NA,2026-07-14,-0.147571237645238,1
-44.7880686883385,-20.9686999407389,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7880686883385,-20.9686101092105,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7880686883385,-20.9685202776821,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7880686883385,-20.9684304461537,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7880686883385,-20.9683406146253,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7880686883385,-20.9682507830968,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7880686883385,-20.9681609515684,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7880686883385,-20.96807112004,"NORMAL",2019-01-02,2026-01-01,NA,NA,0
-44.7880686883385,-20.9679812885116,"RECALIBRANDO",2026-03-17,NA,2026-03-16,0.0627568040928849,1
