"anomes","n_pixels","desvio_mediano","queda","alta"
"2021-06",450,-0.0868,409,41
"2021-07",65,0.084,9,56
"2021-08",311,0.0221,60,251
"2021-09",483,0.0789,59,424
"2021-10",199,0.0835,4,195
"2021-11",160,0.0911,3,157
"2021-12",20,0.0866,4,16
"2022-01",1,-0.0739,1,0
"2022-02",2,-0.0636,2,0
"2022-03",64,0.0551,0,64
"2022-04",201,0.0518,5,196
"2022-05",102,0.0604,1,101
"2022-06",12,-0.0568,12,0
"2022-07",55,-0.09,54,1
"2022-08",219,-0.0952,219,0
"2022-09",221,-0.0972,221,0
"2022-10",19,-0.0924,19,0
"2022-12",1,-0.0854,1,0
"2023-01",1,0.0661,0,1
"2023-02",14,0.0537,0,14
"2023-03",17,0.0468,0,17
"2023-04",110,0.117,0,110
"2023-05",221,0.1102,0,221
"2023-06",32,0.089,1,31
"2023-07",1,-0.0591,1,0
"2023-08",27,-0.0049,19,8
"2023-09",122,0.0768,52,70
"2023-10",298,0.0993,0,298
"2023-11",238,0.1026,0,238
"2023-12",106,0.0968,0,106
"2024-01",18,0.0868,2,16
"2024-02",7,0.0786,0,7
"2024-03",31,0.0921,0,31
"2024-04",3,0.1395,0,3
"2024-06",4,-0.1438,4,0
"2024-07",1,0.0721,0,1
"2024-08",4,-0.1173,4,0
"2024-09",1,-0.0902,1,0
"2024-10",1,-0.0875,1,0
"2025-07",1,0.0861,0,1
"2026-08",1,-0.1006,1,0
