"anomes","n_pixels","desvio_mediano","queda","alta"
"2021-07",18,0.2179,0,18
"2021-08",15,0.1877,0,15
"2021-09",51,0.206,0,51
"2021-10",31,0.2054,2,29
"2021-11",11,-0.1641,11,0
"2022-05",1,0.14,0,1
"2022-06",2,0.169,0,2
"2022-07",14,-0.251,14,0
"2022-08",10,-0.2181,10,0
"2022-09",3,-0.1951,3,0
"2022-10",13,-0.1333,13,0
"2023-04",7,0.036,0,7
"2023-05",39,0.1398,0,39
"2023-08",3,-0.167,2,1
"2023-09",152,-0.1716,152,0
"2023-10",17,-0.1515,17,0
"2023-11",33,0.233,0,33
"2023-12",199,0.2556,0,199
"2024-01",282,0.235,0,282
"2024-02",2,0.1824,0,2
"2024-03",413,0.1944,0,413
"2024-04",227,0.2087,0,227
"2024-06",40,-0.2589,40,0
"2024-07",368,-0.2784,368,0
"2024-08",80,-0.2753,80,0
"2024-09",63,-0.226,63,0
"2024-10",32,-0.1989,32,0
"2024-11",2,-0.1669,2,0
"2025-08",4,-0.2205,4,0
"2025-09",96,-0.1664,96,0
"2025-12",259,0.2461,0,259
"2026-01",9,0.2122,0,9
