"longitude","latitude","n_obs","historico_inicio","historico_fim","n_historico","r2_historico","sigma_historico","data_quebra","desvio_quebra","magnitude","aviso"
-44.7771092418722,-20.9674422993411,324,2019-01-07,2021-05-26,88,0.7605,0.0446,2021-08-19,0.007437,0.011938,NA
-44.7771092418722,-20.9675321308695,321,2019-01-07,2021-05-26,87,0.8189,0.0348,2021-08-14,0.004409,0.004442,NA
-44.7771092418722,-20.967621962398,319,2019-01-07,2021-05-26,87,0.8447,0.0317,2021-08-14,0.003445,5.6e-05,NA
-44.7771990734006,-20.9673524678127,323,2019-01-07,2021-05-26,88,0.8105,0.044,2021-08-19,0.013434,0.030152,NA
-44.7771990734006,-20.9674422993411,324,2019-01-07,2021-05-26,88,0.7605,0.0446,2021-08-19,0.007437,0.011938,NA
-44.7771990734006,-20.9675321308695,321,2019-01-07,2021-05-26,87,0.8189,0.0348,2021-08-14,0.004409,0.004442,NA
-44.7771990734006,-20.967621962398,319,2019-01-07,2021-05-26,87,0.8447,0.0317,2021-08-14,0.003445,5.6e-05,NA
-44.7771990734006,-20.9677117939264,319,2019-01-07,2021-05-26,87,0.8428,0.0376,2021-08-24,0.000272,-0.012066,NA
-44.7771990734006,-20.9678016254548,322,2019-01-07,2021-05-26,87,0.7402,0.0664,2023-09-08,-0.028883,-0.071125,NA
-44.7771990734006,-20.9678914569832,323,2019-01-07,2021-05-26,87,0.6089,0.0967,2023-09-03,-0.035804,-0.109833,NA
-44.7772889049291,-20.9673524678127,323,2019-01-07,2021-05-26,88,0.789,0.0429,2021-08-14,0.010572,0.004502,NA
-44.7772889049291,-20.9674422993411,323,2019-01-07,2021-05-26,87,0.7945,0.039,2021-08-14,0.007068,0.001633,NA
-44.7772889049291,-20.9675321308695,321,2019-01-07,2021-05-26,87,0.794,0.0376,2021-08-19,0.004359,0.003898,NA
-44.7772889049291,-20.967621962398,318,2019-01-07,2021-05-26,86,0.8663,0.0331,2021-08-19,0.008162,-0.009433,NA
-44.7772889049291,-20.9677117939264,321,2019-01-07,2021-05-26,87,0.7933,0.0528,2021-09-03,-0.035079,-0.064613,NA
-44.7772889049291,-20.9678016254548,322,2019-01-07,2021-05-26,87,0.655,0.0871,2023-09-13,-0.047668,-0.104065,NA
-44.7772889049291,-20.9678914569832,323,2019-01-07,2021-05-26,87,0.6002,0.1005,2023-09-08,-0.055182,-0.113516,NA
-44.7772889049291,-20.9679812885116,323,2019-01-07,2021-05-26,87,0.5593,0.1097,2023-09-03,-0.061015,-0.124888,NA
-44.7772889049291,-20.96807112004,323,2019-01-07,2021-05-26,87,0.5946,0.1036,2023-09-13,-0.078,-0.096229,NA
-44.7773787364575,-20.9672626362843,322,2019-01-07,2021-05-26,87,0.7665,0.0458,2021-08-14,0.010282,0.011267,NA
-44.7773787364575,-20.9673524678127,324,2019-01-07,2021-05-26,88,0.7577,0.0448,2021-08-14,0.002812,-0.005447,NA
-44.7773787364575,-20.9674422993411,323,2019-01-07,2021-05-26,87,0.8186,0.0376,2021-08-14,0.001969,-0.004158,NA
-44.7773787364575,-20.9675321308695,322,2019-01-07,2021-05-26,87,0.8435,0.0367,2021-08-24,0.005205,0.003273,NA
-44.7773787364575,-20.967621962398,321,2019-01-07,2021-05-26,88,0.826,0.0462,2021-09-13,-0.031427,-0.040728,NA
-44.7773787364575,-20.9677117939264,320,2019-01-07,2021-05-26,87,0.6569,0.0835,2023-09-23,-0.026382,-0.104991,NA
-44.7773787364575,-20.9678016254548,321,2019-01-07,2021-05-26,87,0.5596,0.1088,2023-09-18,-0.021141,-0.113819,NA
-44.7773787364575,-20.9678914569832,323,2019-01-07,2021-05-26,87,0.5395,0.1162,2023-09-13,-0.033305,-0.102618,NA
-44.7773787364575,-20.9679812885116,323,2019-01-07,2021-05-26,87,0.5468,0.1137,2023-09-13,-0.05379,-0.108359,NA
-44.7773787364575,-20.96807112004,323,2019-01-07,2021-05-26,87,0.6148,0.0994,2023-09-08,-0.040103,-0.130783,NA
-44.7773787364575,-20.9681609515684,323,2019-01-07,2021-05-26,87,0.7046,0.0851,2022-03-27,0.072008,-0.15605,NA
-44.7773787364575,-20.9682507830968,323,2019-01-07,2021-05-26,87,0.7046,0.0851,2022-03-27,0.072008,-0.15605,NA
-44.7774685679859,-20.9671728047559,321,2019-01-07,2021-05-26,86,0.7376,0.0521,2021-08-19,0.00834,0.021159,NA
-44.7774685679859,-20.9672626362843,323,2019-01-07,2021-05-26,87,0.7457,0.0465,2021-08-19,0.007677,0.001031,NA
-44.7774685679859,-20.9673524678127,324,2019-01-07,2021-05-26,87,0.7969,0.0402,2021-08-14,0.005606,-0.006442,NA
-44.7774685679859,-20.9674422993411,324,2019-01-07,2021-05-26,87,0.8221,0.0383,2021-08-19,0.006853,-0.005278,NA
-44.7774685679859,-20.9675321308695,322,2019-01-07,2021-05-26,87,0.8366,0.0423,2021-08-24,-0.006723,-0.018008,NA
-44.7774685679859,-20.967621962398,321,2019-01-07,2021-05-26,88,0.6877,0.0761,2023-09-23,-0.020141,-0.102282,NA
-44.7774685679859,-20.9677117939264,321,2019-01-07,2021-05-26,88,0.5793,0.1047,2023-09-28,-0.004025,-0.104504,NA
-44.7774685679859,-20.9678016254548,320,2019-01-07,2021-05-26,87,0.5485,0.1141,2023-09-23,-0.023069,-0.110466,NA
-44.7774685679859,-20.9678914569832,322,2019-01-07,2021-05-26,87,0.5155,0.1205,2023-09-18,-0.043832,-0.124616,NA
-44.7774685679859,-20.9679812885116,324,2019-01-07,2021-05-26,87,0.5872,0.1067,2023-09-13,-0.03,-0.144736,NA
-44.7774685679859,-20.96807112004,325,2019-01-07,2021-05-26,87,0.6862,0.0881,2022-04-16,0.060482,-0.182001,NA
-44.7774685679859,-20.9681609515684,323,2019-01-07,2021-05-26,87,0.7278,0.0807,2022-03-22,0.054197,-0.187853,NA
-44.7774685679859,-20.9682507830968,323,2019-01-07,2021-05-26,87,0.7278,0.0807,2022-03-22,0.054197,-0.187853,NA
-44.7774685679859,-20.9683406146253,324,2019-01-07,2021-05-26,86,0.7471,0.0778,2022-03-02,0.053638,-0.189758,NA
-44.7775583995143,-20.9671728047559,321,2019-01-07,2021-05-26,86,0.6793,0.0571,2021-08-19,0.008028,0.00598,NA
-44.7775583995143,-20.9672626362843,322,2019-01-07,2021-05-26,86,0.7087,0.0508,2021-08-19,0.006877,-0.002241,NA
-44.7775583995143,-20.9673524678127,322,2019-01-07,2021-05-26,86,0.811,0.0401,2021-08-19,0.010556,0.003269,NA
-44.7775583995143,-20.9674422993411,323,2019-01-07,2021-05-26,87,0.8445,0.0386,2021-08-24,0.006785,-0.003312,NA
-44.7775583995143,-20.9675321308695,322,2019-01-07,2021-05-26,87,0.7655,0.0599,2021-08-24,-0.028171,-0.069425,NA
-44.7775583995143,-20.967621962398,321,2019-01-07,2021-05-26,88,0.6164,0.0975,2023-09-23,-0.027636,-0.103164,NA
-44.7775583995143,-20.9677117939264,320,2019-01-07,2021-05-26,88,0.5809,0.1119,2023-09-28,-0.020811,-0.115295,NA
-44.7775583995143,-20.9678016254548,318,2019-01-07,2021-05-26,88,0.5622,0.1161,2023-09-28,-0.023845,-0.111377,NA
-44.7775583995143,-20.9678914569832,321,2019-01-07,2021-05-26,88,0.5701,0.1108,2023-09-18,-0.027548,-0.127733,NA
-44.7775583995143,-20.9679812885116,320,2019-01-07,2021-05-26,87,0.6803,0.0902,2022-04-21,0.056738,-0.177824,NA
-44.7775583995143,-20.96807112004,323,2019-01-07,2021-05-26,87,0.7034,0.0862,2022-03-27,0.058956,-0.174825,NA
-44.7775583995143,-20.9681609515684,323,2019-01-07,2021-05-26,87,0.7034,0.0862,2022-03-27,0.058956,-0.174825,NA
-44.7775583995143,-20.9682507830968,323,2019-01-07,2021-05-26,86,0.6985,0.0865,2022-03-27,0.054208,-0.211854,NA
-44.7775583995143,-20.9683406146253,327,2019-01-07,2021-05-26,88,0.6692,0.0896,2022-04-11,0.058928,-0.157439,NA
-44.7775583995143,-20.9684304461537,328,2019-01-07,2021-05-26,88,0.6027,0.0965,2022-04-16,0.062741,-0.134415,NA
-44.7776482310427,-20.9670829732275,321,2019-01-07,2021-05-26,86,0.6923,0.0584,2021-08-24,0.011022,0.015779,NA
-44.7776482310427,-20.9671728047559,323,2019-01-07,2021-05-26,87,0.6648,0.0572,2021-08-19,0.004756,-0.004713,NA
-44.7776482310427,-20.9672626362843,322,2019-01-07,2021-05-26,86,0.7951,0.043,2021-08-19,0.010729,0.002059,NA
-44.7776482310427,-20.9673524678127,320,2019-01-07,2021-05-26,85,0.8475,0.0376,2021-08-24,0.015469,0.001701,NA
-44.7776482310427,-20.9674422993411,322,2019-01-07,2021-05-26,87,0.8431,0.0444,2021-09-03,-0.0267,-0.027732,NA
-44.7776482310427,-20.9675321308695,322,2019-01-07,2021-05-26,87,0.6774,0.0842,2023-09-18,-0.057637,-0.101516,NA
-44.7776482310427,-20.967621962398,320,2019-01-07,2021-05-26,87,0.622,0.1032,2023-09-23,-0.044787,-0.10391,NA
-44.7776482310427,-20.9677117939264,319,2019-01-07,2021-05-26,87,0.5934,0.112,2023-09-23,-0.031383,-0.118578,NA
-44.7776482310427,-20.9678016254548,320,2019-01-07,2021-05-26,88,0.5856,0.1129,2023-09-23,-0.02402,-0.113867,NA
-44.7776482310427,-20.9678914569832,320,2019-01-07,2021-05-26,88,0.656,0.0974,2023-04-26,0.077214,-0.155004,NA
-44.7776482310427,-20.9679812885116,321,2019-01-07,2021-05-26,88,0.715,0.0866,2022-03-27,0.064983,-0.18081,NA
-44.7776482310427,-20.96807112004,320,2019-01-07,2021-05-26,87,0.7246,0.0852,2022-03-22,0.061749,-0.196062,NA
-44.7776482310427,-20.9681609515684,320,2019-01-07,2021-05-26,87,0.7246,0.0852,2022-03-22,0.061749,-0.196062,NA
-44.7776482310427,-20.9682507830968,324,2019-01-07,2021-05-26,88,0.6984,0.0869,2022-03-27,0.060815,-0.18058,NA
-44.7776482310427,-20.9683406146253,326,2019-01-07,2021-05-26,88,0.629,0.0955,2023-04-11,0.069347,-0.146114,NA
-44.7776482310427,-20.9684304461537,327,2019-01-07,2021-05-26,88,0.5453,0.108,2023-09-03,-0.048044,-0.148938,NA
-44.7776482310427,-20.9685202776821,327,2019-01-07,2021-05-26,88,0.5112,0.1076,2023-09-03,-0.061728,-0.161656,NA
-44.7777380625711,-20.9670829732275,324,2019-01-07,2021-05-26,87,0.7717,0.0491,2021-08-19,0.015121,0.008921,NA
-44.7777380625711,-20.9671728047559,324,2019-01-07,2021-05-26,87,0.7277,0.0511,2021-08-19,0.004669,0.00672,NA
