"longitude","latitude","n_obs","historico_inicio","historico_fim","n_historico","r2_historico","sigma_historico","data_quebra","desvio_quebra","magnitude","aviso"
-44.7771092418722,-20.9674422993411,583,2019-01-02,2021-05-31,177,0.2144,0.3263,NA,NA,0.103367,NA
-44.7771092418722,-20.9675321308695,583,2019-01-02,2021-05-31,177,0.2141,0.3297,NA,NA,0.096104,NA
-44.7771092418722,-20.967621962398,583,2019-01-02,2021-05-31,177,0.2131,0.3297,NA,NA,0.105237,NA
-44.7771990734006,-20.9673524678127,583,2019-01-02,2021-05-31,177,0.2104,0.3182,NA,NA,0.100423,NA
-44.7771990734006,-20.9674422993411,583,2019-01-02,2021-05-31,177,0.2144,0.3263,NA,NA,0.103367,NA
-44.7771990734006,-20.9675321308695,583,2019-01-02,2021-05-31,177,0.2141,0.3297,NA,NA,0.096104,NA
-44.7771990734006,-20.967621962398,583,2019-01-02,2021-05-31,177,0.2131,0.3297,NA,NA,0.105237,NA
-44.7771990734006,-20.9677117939264,583,2019-01-02,2021-05-31,177,0.2124,0.3227,NA,NA,0.087827,NA
-44.7771990734006,-20.9678016254548,583,2019-01-02,2021-05-31,177,0.2208,0.3177,NA,NA,-0.002718,NA
-44.7771990734006,-20.9678914569832,583,2019-01-02,2021-05-31,177,0.2336,0.3191,2024-08-23,-0.315951,-0.059921,NA
-44.7772889049291,-20.9673524678127,583,2019-01-02,2021-05-31,177,0.2215,0.3251,NA,NA,0.099564,NA
-44.7772889049291,-20.9674422993411,583,2019-01-02,2021-05-31,177,0.2218,0.3297,NA,NA,0.104527,NA
-44.7772889049291,-20.9675321308695,583,2019-01-02,2021-05-31,177,0.2198,0.3295,NA,NA,0.108252,NA
-44.7772889049291,-20.967621962398,583,2019-01-02,2021-05-31,177,0.218,0.3244,NA,NA,0.094959,NA
-44.7772889049291,-20.9677117939264,583,2019-01-02,2021-05-31,177,0.2257,0.3191,NA,NA,0.005233,NA
-44.7772889049291,-20.9678016254548,583,2019-01-02,2021-05-31,177,0.2297,0.3184,2024-08-28,-0.308734,-0.050044,NA
-44.7772889049291,-20.9678914569832,583,2019-01-02,2021-05-31,177,0.2349,0.3186,2024-08-13,-0.325501,-0.092798,NA
-44.7772889049291,-20.9679812885116,583,2019-01-02,2021-05-31,177,0.243,0.3202,2024-07-29,-0.289155,-0.106025,NA
-44.7772889049291,-20.96807112004,583,2019-01-02,2021-05-31,177,0.242,0.3042,2024-07-29,-0.279529,-0.094326,NA
-44.7773787364575,-20.9672626362843,583,2019-01-02,2021-05-31,177,0.217,0.3241,NA,NA,0.085133,NA
-44.7773787364575,-20.9673524678127,583,2019-01-02,2021-05-31,177,0.2254,0.3294,NA,NA,0.094919,NA
-44.7773787364575,-20.9674422993411,583,2019-01-02,2021-05-31,177,0.2269,0.3298,NA,NA,0.109242,NA
-44.7773787364575,-20.9675321308695,583,2019-01-02,2021-05-31,177,0.2258,0.3243,NA,NA,0.104349,NA
-44.7773787364575,-20.967621962398,583,2019-01-02,2021-05-31,177,0.2256,0.3178,NA,NA,0.027583,NA
-44.7773787364575,-20.9677117939264,583,2019-01-02,2021-05-31,177,0.2329,0.3188,2024-09-07,-0.279589,-0.052749,NA
-44.7773787364575,-20.9678016254548,583,2019-01-02,2021-05-31,177,0.2364,0.3222,2024-08-08,-0.314782,-0.097177,NA
-44.7773787364575,-20.9678914569832,583,2019-01-02,2021-05-31,177,0.2383,0.3217,2024-07-29,-0.292626,-0.112922,NA
-44.7773787364575,-20.9679812885116,583,2019-01-02,2021-05-31,177,0.2462,0.3206,2024-07-29,-0.289194,-0.112022,NA
-44.7773787364575,-20.96807112004,583,2019-01-02,2021-05-31,177,0.2595,0.3166,2024-07-24,-0.253318,-0.130239,NA
-44.7773787364575,-20.9681609515684,583,2019-01-02,2021-05-31,177,0.2659,0.3071,2024-07-14,-0.242374,-0.152378,NA
